event_uid,dataset_version,subject,session_stamp,anchor_time_rel_s,event_type,event_level,road_type_anchor,n_window_samples,random_event_split,session_level_split,subject_level_split
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,211.485,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000221595,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,221.595,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,260.065,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000291210,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,291.21,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000314960,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,314.96,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000334340,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,334.34,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000353715,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,353.715,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,413.415,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,431.34,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000450660,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,450.66,instability_roll_only,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000457320,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,457.32,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000470200,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,470.2,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000517005,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,517.005,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000576800,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,576.8,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000618525,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_41_47,618.525,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000160615,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,160.615,instability_ay_roll,extreme_active,curve,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000190150,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,190.15,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000211330,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,211.33,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,229.945,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000268875,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,268.875,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,283.21,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000287425,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,287.425,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,308.92,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000335735,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,335.735,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000340960,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,340.96,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000362425,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,362.425,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000380620,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,380.62,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000538700,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,538.7,instability_ay_roll,extreme_active,straight,3,val,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,vehicle_instability_highconf_v0_1,gzj,2025_09_27_11_53_25,575.025,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,95.835,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,143.79,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,173.35,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,215.14,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000265895,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,265.895,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_04_23,297.385,instability_ay_roll,weak,curve,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,53.185,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,81.7,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000108865,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,108.865,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000150140,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,150.14,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,175.24,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,186.555,instability_ay_roll,strong_active,straight,3,val,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,218.105,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000253235,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,253.235,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,273.44,instability_ay_roll,extreme_active,straight,3,val,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,362.46,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,392.59,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000489775,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,489.775,instability_ay_roll,strong_active,straight,3,val,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,518.18,instability_ay_roll,medium_active,curve,3,val,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000546730,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,546.73,instability_ay_roll,medium_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,585.94,instability_ay_roll,none,none,3,test,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_17_12,592.75,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000046325,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,46.325,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000101220,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,101.22,instability_ay_only,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,104.49,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000151555,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,151.555,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,184.075,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,198.48,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000214945,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,214.945,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000231185,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,231.185,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,308.055,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,331.425,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,362.825,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000388095,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,388.095,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000393180,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,393.18,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000416905,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,416.905,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000475005,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,475.005,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000486975,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,486.975,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000531015,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,531.015,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000562665,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,562.665,instability_ay_roll,weak,curve,3,train,train,test
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000613925,vehicle_instability_highconf_v0_1,gzj,2025_09_27_12_28_14,613.925,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,34.605,instability_ay_roll,weak,straight,3,test,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000061190,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,61.19,instability_ay_roll,medium_active,straight,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000099655,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,99.655,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,128.695,instability_ay_roll,strong_active,straight,3,test,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,148.635,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000186415,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,186.415,instability_ay_roll,medium_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000198845,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,198.845,instability_ay_roll,medium_active,straight,3,test,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,221.605,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,245.88,instability_roll_only,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000267185,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,267.185,instability_roll_only,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,337.435,instability_roll_only,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,374.985,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000394695,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,394.695,instability_ay_roll,medium_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000405010,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,405.01,instability_ay_roll,medium_active,straight,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000449755,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,449.755,instability_ay_only,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000455695,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,455.695,instability_ay_roll,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000474655,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,474.655,instability_ay_roll,medium_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000579225,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,579.225,instability_ay_roll,weak,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000599030,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,599.03,instability_ay_roll,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000610365,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,610.365,instability_ay_roll,weak,curve,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000616100,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,616.1,instability_ay_roll,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000645790,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,645.79,instability_ay_roll,medium_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,681.25,instability_ay_roll,medium_active,straight,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000691675,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,691.675,instability_ay_roll,weak,curve,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000701035,vehicle_instability_highconf_v0_1,hzh,2025_09_26_20_50_27,701.035,instability_ay_roll,strong_active,curve,3,test,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,60.335,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000088105,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,88.105,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,134.505,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000160880,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,160.88,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,202.26,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,221.89,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000238815,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,238.815,instability_ay_roll,extreme_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000280645,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,280.645,instability_ay_roll,none,none,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000310025,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,310.025,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000320800,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,320.8,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,326.2,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000341895,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,341.895,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,360.59,instability_ay_roll,strong_active,straight,3,test,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000496480,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,496.48,instability_ay_roll,strong_active,straight,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,504.66,instability_ay_roll,medium_active,straight,3,val,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000558910,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_03_19,558.91,instability_ay_roll,medium_active,curve,3,train,test,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000043710,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,43.71,instability_ay_roll,medium_active,straight,3,val,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,110.23,instability_ay_roll,medium_active,straight,3,val,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000164995,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,164.995,instability_ay_roll,weak,curve,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000199585,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,199.585,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000328340,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,328.34,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000397515,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,397.515,instability_ay_roll,medium_active,straight,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,vehicle_instability_highconf_v0_1,hzh,2025_09_26_21_17_02,422.495,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,54.775,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000073950,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,73.95,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000153715,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,153.715,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,193.515,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000301310,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,301.31,instability_ay_roll,extreme_active,curve,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,331.71,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000359710,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,359.71,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000377330,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,377.33,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000382505,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,382.505,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000457930,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,457.93,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000556545,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_22_27,556.545,instability_ay_roll,weak,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,59.36,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000086105,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,86.105,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000134035,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,134.035,instability_ay_roll,extreme_active,curve,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,164.3,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000196645,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,196.645,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000209940,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,209.94,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000220280,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,220.28,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000269285,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,269.285,instability_ay_roll,extreme_active,curve,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,297.885,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,325.285,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000337550,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,337.55,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000342730,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,342.73,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000353510,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,353.51,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000442940,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,442.94,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000474190,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,474.19,instability_ay_roll,strong_active,straight,3,val,train,test
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405,vehicle_instability_highconf_v0_1,hzh,2025_09_27_19_33_25,511.405,instability_ay_roll,strong_active,curve,3,train,train,test
